   X      Y      Z   
1:     -142.06464 -802.435725 668.515925
234:     -141.965035 -812.4458125 670.1660875
235:     -142.03021375 -812.579325 670.1757125000001
236:     -142.0943125 -812.6859750000001 670.1830625000001
237:     -142.1539675 -812.7597000000001 670.1890125000001
238:     -142.2048225 -812.7971875000001 670.1920749999999
239:     -142.25145500000002 -812.8064125000001 670.185175
240:     -142.2985 -812.8023750000001 670.1642125
241:     -142.33049125000002 -812.7618375 670.139625
242:     -142.3618025 -812.7145875000002 670.108825
243:     -142.37299375 -812.6295125 670.0840999999999
244:     -142.38318375 -812.5382375000002 670.0556624999999
245:     -142.40115500000002 -812.4559 670.0159000000001
246:     -142.41628624999998 -812.3609250000001 669.9728375
247:     -142.43923 -812.279925 669.9227125
248:     -142.46893125000003 -812.2157125000001 669.8720500000001
249:     -142.49084625 -812.155025 669.833075
250:     -142.505125 -812.1039875000001 669.8059625
251:     -142.52921750000002 -812.0882250000001 669.7796500000001
252:     -142.55108249999998 -812.082575 669.7547375
253:     -142.58713375000002 -812.1078375000001 669.7211875
254:     -142.63379375 -812.158125 669.6828250000001
255:     -142.67625249999998 -812.2056625 669.6496875
256:     -142.72256125 -812.2589125 669.6249375
257:     -142.76302375000003 -812.307425 669.6069
258:     -142.8081175 -812.3561125 669.5924125
259:     -142.86373625 -812.4138875000001 669.5705875
260:     -142.9244625 -812.4705875 669.5422000000001
261:     -142.9789025 -812.5147625 669.5134
262:     -143.03726125 -812.5693625 669.4839000000001
263:     -143.08957500000002 -812.6234125 669.459675
264:     -143.12893250000002 -812.667075 669.4421625000001
265:     -143.17227000000003 -812.7249875 669.4221625
266:     -143.21119750000003 -812.7882500000001 669.3887375
267:     -143.25169875 -812.8528875000001 669.3454625
268:     -143.2891875 -812.919175 669.2931375
269:     -143.32025000000002 -812.9864124999999 669.2406625
270:     -143.3455975 -813.0549 669.19045
271:     -143.36123125000003 -813.1233749999999 669.1421875000001
272:     -143.37076000000002 -813.1974750000002 669.0903500000001
273:     -143.3749275 -813.2761000000002 669.03395
274:     -143.38315250000002 -813.3721875000001 668.9745375000001
275:     -143.38374875000005 -813.4746 668.9165875
276:     -143.3722575 -813.5860375 668.86635
277:     -143.34685875 -813.7057125 668.8286750000001
278:     -143.3007275 -813.8238875 668.8020375
279:     -143.246095 -813.95135 668.7774875
280:     -143.18182375 -814.0828 668.7516749999999
281:     -143.1080675 -814.2143375000002 668.72635
282:     -143.02069500000002 -814.3388500000001 668.704325
283:     -142.91312625 -814.45275 668.6911625
284:     -142.77511625 -814.5423125 668.6864125000001
285:     -142.61413125 -814.6185125000001 668.6861375
286:     -142.43566750000002 -814.6809499999999 668.6843875000002
287:     -142.23857625 -814.73015 668.6735125
288:     -142.02770249999998 -814.7754874999999 668.6518375000002
289:     -141.79475374999998 -814.8059125 668.624225
